result,material_difference,total_white_material,total_black_material,colour,ply_number,white_in_check,black_in_check,white_queen_exists,black_queen_exists,num_squares_white_attacks,num_squares_black_attacks
0,0,38,38,1,21,0,0,1,1,34,33
0,0,38,38,0,22,0,0,1,1,34,33
0,0,38,38,1,23,0,0,1,1,36,34
0,-3,35,38,0,24,0,0,1,1,33,37
0,0,35,35,1,25,0,0,1,1,35,30
0,-3,32,35,0,26,0,0,1,1,33,34
0,0,32,32,1,27,0,0,1,1,35,29
0,-1,31,32,0,28,0,0,1,1,34,32
0,-1,31,32,1,29,0,0,1,1,36,32
0,-1,31,32,0,30,0,0,1,1,36,34
0,2,31,29,1,31,0,0,1,1,35,31
0,-3,26,29,0,32,0,0,1,1,34,34
0,-3,26,29,1,33,0,0,1,1,36,34
0,-3,26,29,0,34,0,0,1,1,36,33
0,2,26,24,1,35,0,0,1,1,34,29
0,-1,23,24,0,36,0,0,1,1,32,33
0,-1,23,24,1,37,0,0,1,1,32,32
0,-1,23,24,0,38,0,0,1,1,31,32
0,8,23,15,1,39,0,0,1,0,37,22
0,-1,14,15,0,40,0,0,0,0,24,21
0,-1,14,15,1,41,0,0,0,0,24,21
0,-1,14,15,0,42,0,0,0,0,24,21
0,-1,14,15,1,43,0,0,0,0,25,21
0,-1,14,15,0,44,0,0,0,0,25,23
0,-1,14,15,1,45,0,0,0,0,26,23
0,-1,14,15,0,46,0,0,0,0,26,26
0,-1,14,15,1,47,0,0,0,0,28,28
0,-6,9,15,0,48,0,0,0,0,21,30
0,-1,9,10,1,49,0,0,0,0,20,19
0,-1,9,10,0,50,0,0,0,0,20,21
0,-1,9,10,1,51,0,0,0,0,19,21
0,-1,9,10,0,52,0,0,0,0,19,21
0,-1,9,10,1,53,0,0,0,0,19,21
0,-1,9,10,0,54,0,0,0,0,19,22
0,-1,9,10,1,55,0,0,0,0,19,22
0,-1,9,10,0,56,0,0,0,0,19,23
0,-1,9,10,1,57,0,0,0,0,19,23
0,-1,9,10,0,58,0,0,0,0,19,23
0,-1,9,10,1,59,0,0,0,0,20,23
0,-1,9,10,0,60,0,0,0,0,20,23
0,-1,9,10,1,61,0,0,0,0,19,23
0,-1,9,10,0,62,0,0,0,0,19,22
0,-1,9,10,1,63,0,0,0,0,20,22
0,-2,8,10,0,64,0,0,0,0,19,22
0,-1,8,9,1,65,0,0,0,0,18,21
0,-2,7,9,0,66,0,0,0,0,16,22
0,-1,7,8,1,67,0,0,0,0,17,21
0,-1,7,8,0,68,0,0,0,0,17,21
0,0,7,7,1,69,0,0,0,0,16,20
0,-1,6,7,0,70,0,0,0,0,15,19
0,-1,6,7,1,71,0,0,0,0,16,19
0,-1,6,7,0,72,0,0,0,0,16,19
0,-1,6,7,1,73,0,1,0,0,17,19
0,-1,6,7,0,74,0,0,0,0,17,20
0,-1,6,7,1,75,0,0,0,0,17,20
0,-2,5,7,0,76,0,0,0,0,17,20
0,1,5,4,1,77,0,0,0,0,18,13
0,0,4,4,0,78,0,0,0,0,16,14
0,0,4,4,1,79,0,0,0,0,13,14
0,0,4,4,0,80,0,0,0,0,13,12
0,1,4,3,1,81,0,0,0,0,10,11
0,1,4,3,0,82,0,0,0,0,10,11
0,1,4,3,1,83,0,0,0,0,13,11
0,0,3,3,0,84,0,0,0,0,12,9
0,0,3,3,1,85,0,0,0,0,10,9
0,0,3,3,0,86,0,0,0,0,10,10
0,0,3,3,1,87,0,0,0,0,10,10
0,0,3,3,0,88,0,0,0,0,10,12
0,0,3,3,1,89,0,0,0,0,12,12
0,0,3,3,0,90,0,0,0,0,12,11
0,0,3,3,1,91,0,0,0,0,14,11
0,0,3,3,0,92,0,0,0,0,14,11
0,0,3,3,1,93,0,1,0,0,13,11
0,0,3,3,0,94,0,0,0,0,13,10
0,0,3,3,1,95,0,0,0,0,14,10
0,0,3,3,0,96,0,0,0,0,14,11
0,0,3,3,1,97,0,0,0,0,11,11
0,0,3,3,0,98,0,0,0,0,11,12
0,0,3,3,1,99,0,1,0,0,14,12
0,0,3,3,0,100,0,0,0,0,14,9
0,0,3,3,1,101,0,0,0,0,13,9
0,0,3,3,0,102,0,0,0,0,13,12
0,0,3,3,1,103,0,0,0,0,13,12
0,0,3,3,0,104,0,0,0,0,13,10
0,0,3,3,1,105,0,0,0,0,12,10
0,0,3,3,0,106,0,0,0,0,12,11
0,1,3,2,1,107,0,1,0,0,14,10
0,1,3,2,0,108,0,0,0,0,14,10
0,1,3,2,1,109,0,0,0,0,12,10
0,1,3,2,0,110,0,0,0,0,12,8
0,1,3,2,1,111,0,0,0,0,12,8
0,1,3,2,0,112,0,0,0,0,12,8
0,1,3,2,1,113,0,0,0,0,10,8
0,1,3,2,0,114,0,0,0,0,10,7
0,1,3,2,1,115,0,0,0,0,6,7
0,-2,0,2,0,116,0,0,0,0,5,5
0,-2,0,2,1,117,0,0,0,0,5,5
0,-2,0,2,0,118,1,0,0,0,5,5
0,-2,0,2,1,119,0,0,0,0,8,5
0,-10,0,10,0,120,1,0,0,1,8,21
0,-1,0,1,1,121,0,0,0,0,5,3
0,-1,0,1,0,122,0,0,0,0,5,8
0,0,35,35,1,21,0,0,1,1,33,33
0,0,35,35,0,22,0,0,1,1,33,36
0,0,35,35,1,23,0,0,1,1,32,36
0,0,35,35,0,24,0,0,1,1,32,40
0,0,35,35,1,25,0,0,1,1,32,40
0,0,35,35,0,26,0,0,1,1,32,40
0,0,35,35,1,27,0,0,1,1,32,40
0,0,35,35,0,28,0,0,1,1,32,38
0,0,35,35,1,29,0,0,1,1,35,38
0,0,35,35,0,30,0,0,1,1,35,42
0,0,35,35,1,31,0,0,1,1,35,40
0,0,35,35,0,32,0,0,1,1,35,38
0,0,35,35,1,33,0,0,1,1,35,38
0,0,35,35,0,34,0,0,1,1,35,38
0,0,35,35,1,35,0,0,1,1,32,38
0,0,35,35,0,36,0,0,1,1,32,37
0,0,35,35,1,37,0,0,1,1,33,37
0,0,35,35,0,38,0,0,1,1,33,37
0,0,35,35,1,39,0,0,1,1,33,37
0,-1,34,35,0,40,0,0,1,1,33,35
0,2,34,32,1,41,0,0,1,1,32,33
0,2,34,32,0,42,1,0,1,1,32,36
0,2,34,32,1,43,0,0,1,1,32,37
0,2,34,32,0,44,1,0,1,1,34,40
0,5,34,29,1,45,0,0,1,1,33,37
0,-4,25,29,0,46,0,0,0,1,27,38
0,-4,25,29,1,47,0,0,0,1,27,40
0,-4,25,29,0,48,0,0,0,1,27,43
0,-4,25,29,1,49,0,0,0,1,28,41
0,-9,20,29,0,50,0,0,0,1,25,40
0,-4,20,24,1,51,0,0,0,1,23,37
0,-4,20,24,0,52,0,0,0,1,23,36
0,-4,20,24,1,53,0,0,0,1,25,36
0,-4,20,24,0,54,0,0,0,1,25,36
0,-4,20,24,1,55,0,0,0,1,27,36
0,-4,20,24,0,56,0,0,0,1,27,37
0,-4,20,24,1,57,0,0,0,1,32,37
0,-4,20,24,0,58,1,0,0,1,32,37
0,-4,20,24,1,59,0,0,0,1,33,37
0,-4,20,24,0,60,0,0,0,1,33,34
0,-4,20,24,1,61,0,0,0,1,34,34
0,-5,19,24,0,62,1,0,0,1,34,37
0,-5,19,24,1,63,0,0,0,1,34,37
0,-5,19,24,0,64,0,0,0,1,34,32
0,-5,19,24,1,65,0,0,0,1,33,32
0,-5,19,24,0,66,0,0,0,1,33,31
0,-2,19,21,1,67,0,0,0,1,28,29
0,-2,19,21,0,68,1,0,0,1,28,32
0,-2,19,21,1,69,0,0,0,1,29,34
0,-5,16,21,0,70,0,0,0,1,27,31
0,-5,16,21,1,71,0,0,0,1,33,32
0,-5,16,21,0,72,1,0,0,1,33,33
0,-5,16,21,1,73,0,0,0,1,30,33
1,0,37,37,0,21,0,0,1,1,36,31
1,0,37,37,1,22,0,0,1,1,36,36
1,0,37,37,0,23,0,0,1,1,36,36
1,0,37,37,1,24,0,0,1,1,36,38
1,0,37,37,0,25,0,0,1,1,38,38
1,0,37,37,1,26,0,0,1,1,40,36
1,0,37,37,0,27,0,0,1,1,41,38
1,0,37,37,1,28,0,0,1,1,40,36
1,0,37,37,0,29,0,0,1,1,40,36
1,0,37,37,1,30,0,0,1,1,40,36
1,0,37,37,0,31,0,0,1,1,41,35
1,0,37,37,1,32,0,0,1,1,41,37
1,0,37,37,0,33,0,0,1,1,38,37
1,-3,34,37,1,34,0,0,1,1,33,39
1,0,34,34,0,35,0,0,1,1,42,35
1,0,34,34,1,36,0,0,1,1,42,37
1,0,34,34,0,37,0,0,1,1,42,37
1,0,34,34,1,38,0,0,1,1,42,34
1,0,34,34,0,39,0,0,1,1,44,34
1,0,34,34,1,40,0,0,1,1,44,35
