result,materialDifference,colour,plyNumber,whiteInCheck,blackInCheck,whiteQueenExists,blackQueenExists,numOfSquaresWhiteAttacks,numOfSquaresBlackAttacks
0,2,1,21,0,0,1,1,39,34
0,2,0,22,0,0,1,1,39,35
0,2,1,23,0,0,1,1,41,32
0,2,0,24,0,0,1,1,41,33
0,2,1,25,0,0,1,1,39,36
0,2,0,26,0,0,1,1,39,36
0,2,1,27,0,0,1,1,39,36
0,2,0,28,0,0,1,1,39,42
0,5,1,29,0,0,1,1,38,41
0,0,0,30,1,0,1,1,38,40
0,9,1,31,0,0,1,0,37,33
0,6,0,32,0,0,1,0,34,32
0,7,1,33,0,1,1,0,35,32
0,7,0,34,0,0,1,0,35,31
0,7,1,35,0,0,1,0,38,31
0,7,0,36,0,0,1,0,38,30
0,7,1,37,0,0,1,0,39,30
0,7,0,38,0,0,1,0,39,31
0,8,1,39,0,0,1,0,41,29
0,8,0,40,0,0,1,0,41,28
0,9,1,41,0,1,1,0,43,27
0,9,0,42,0,0,1,0,42,26
0,14,1,43,0,1,1,0,43,20
0,14,0,44,0,0,1,0,44,20
0,14,1,45,0,1,1,0,45,20
0,14,0,46,0,0,1,0,45,19
0,14,1,47,0,1,1,0,42,19
0,14,0,48,0,0,1,0,42,18
0,14,1,49,0,1,1,0,42,18
0,14,0,50,0,0,1,0,42,20
0,14,1,51,0,1,1,0,46,20
0,14,0,52,0,0,1,0,44,19
0,14,1,53,0,1,1,0,45,19
0,14,0,54,0,0,1,0,45,19
0,17,1,55,0,0,1,0,49,17
0,14,0,56,0,0,1,0,46,17
0,14,1,57,0,1,1,0,44,21
0,5,0,58,0,0,0,0,32,21
0,5,1,59,0,0,0,0,32,21
0,5,0,60,0,0,0,0,32,24
0,5,1,61,0,0,0,0,30,24
0,4,0,62,1,0,0,0,29,25
0,7,1,63,0,0,0,0,31,21
0,7,0,64,1,0,0,0,31,25
1,0,0,21,0,0,1,1,32,29
1,0,1,22,0,0,1,1,32,30
1,0,0,23,0,0,1,1,36,30
1,0,1,24,0,0,1,1,36,31
1,0,0,25,0,0,1,1,35,30
1,-9,1,26,0,0,0,1,30,33
1,0,0,27,0,0,0,0,28,26
1,0,1,28,0,0,0,0,28,26
1,0,0,29,0,0,0,0,29,26
1,0,1,30,0,0,0,0,29,26
1,0,0,31,0,0,0,0,28,26
1,0,1,32,0,0,0,0,28,27
1,1,0,33,0,0,0,0,30,26
1,0,1,34,0,0,0,0,28,26
1,1,0,35,0,0,0,0,28,24
1,0,1,36,0,0,0,0,26,25
1,0,0,37,0,0,0,0,23,27
1,-5,1,38,0,1,0,0,19,31
1,0,0,39,0,0,0,0,25,23
1,0,1,40,0,0,0,0,25,26
1,5,0,41,1,0,0,0,25,17
1,0,1,42,0,0,0,0,15,19
1,0,0,43,0,0,0,0,21,19
1,0,1,44,0,0,0,0,21,20
1,0,0,45,0,0,0,0,22,20
1,0,1,46,0,0,0,0,22,19
1,0,0,47,0,0,0,0,20,19
1,0,1,48,0,0,0,0,20,19
1,0,0,49,0,0,0,0,16,19
1,0,1,50,0,0,0,0,16,19
1,0,0,51,0,0,0,0,20,19
1,0,1,52,0,0,0,0,20,19
1,0,0,53,0,0,0,0,21,19
1,0,1,54,0,0,0,0,21,18
1,0,0,55,0,0,0,0,20,18
1,0,1,56,0,0,0,0,20,20
1,1,0,57,1,0,0,0,22,18
1,0,1,58,0,0,0,0,20,19
1,1,0,59,1,0,0,0,20,17
1,0,1,60,0,0,0,0,18,17
1,0,0,61,0,0,0,0,17,17
1,0,1,62,0,0,0,0,17,17
1,1,0,63,0,0,0,0,16,16
1,-2,1,64,0,0,0,0,11,21
1,1,0,65,0,0,0,0,12,11
1,0,1,66,0,0,0,0,11,12
1,0,0,67,0,0,0,0,11,12
1,0,1,68,0,0,0,0,11,12
1,1,0,69,0,0,0,0,10,10
1,0,1,70,0,0,0,0,9,7
1,1,0,71,0,0,0,0,7,6
1,1,1,72,0,0,0,0,7,9
1,1,0,73,0,0,0,0,8,9
1,1,1,74,0,0,0,0,8,8
1,1,0,75,0,0,0,0,7,8
1,1,1,76,0,0,0,0,7,9
1,1,0,77,0,0,0,0,8,9
1,1,1,78,0,0,0,0,8,8
1,9,0,79,0,0,1,0,22,8
1,1,1,80,0,0,1,1,22,19
1,1,0,81,1,0,1,1,24,19
1,1,1,82,0,0,1,1,25,17
1,10,0,83,1,0,1,0,20,5
1,1,1,84,0,0,0,0,6,3
1,1,0,85,0,0,0,0,5,3
1,1,1,86,0,0,0,0,5,8
1,1,0,87,0,0,0,0,5,8
1,1,1,88,0,0,0,0,5,8
1,1,0,89,0,0,0,0,9,8
1,1,1,90,0,0,0,0,9,8
1,1,0,91,0,0,0,0,8,8
1,1,1,92,0,0,0,0,8,8
1,1,0,93,0,0,0,0,9,8
1,1,1,94,0,0,0,0,9,8
1,9,0,95,0,0,1,0,24,8
1,9,1,96,0,0,1,0,24,8
1,9,0,97,0,0,1,0,21,8
1,9,1,98,0,0,1,0,21,8
1,9,0,99,0,0,1,0,24,8
1,9,1,100,0,0,1,0,24,8
1,9,0,101,0,0,1,0,24,8
1,9,1,102,0,0,1,0,24,8
1,9,0,103,0,0,1,0,27,8
1,9,1,104,0,0,1,0,27,8
1,9,0,105,0,0,1,0,30,8
1,9,1,106,0,0,1,0,30,8
1,9,0,107,0,0,1,0,30,8
1,9,1,108,0,0,1,0,30,8
1,9,0,109,0,0,1,0,29,8
1,9,1,110,0,0,1,0,29,8
1,9,0,111,0,0,1,0,31,8
1,9,1,112,0,0,1,0,31,5
1,9,0,113,0,0,1,0,28,5
1,9,1,114,0,0,1,0,28,3
1,9,0,115,0,0,1,0,30,3
1,9,1,116,0,0,1,0,30,5
1,9,0,117,0,0,1,0,27,5
1,9,1,118,0,0,1,0,27,3
1,9,0,119,0,0,1,0,24,3
1,9,1,120,0,0,1,0,24,5
1,9,0,121,0,0,1,0,25,5
1,9,1,122,0,0,1,0,25,3
1,9,0,123,0,0,1,0,26,3
1,9,1,124,0,0,1,0,26,5
1,9,0,125,1,0,1,0,22,5
1,0,1,21,0,0,1,1,39,31
1,-3,0,22,0,0,1,1,34,38
1,6,1,23,0,0,1,0,41,25
1,0,0,21,0,0,1,1,32,31
1,0,1,22,0,0,1,1,32,32
1,0,0,23,0,0,1,1,33,32
1,0,1,24,0,0,1,1,34,32
1,0,0,25,0,0,1,1,35,32
1,0,1,26,0,0,1,1,34,30
1,0,0,27,0,0,1,1,34,30
1,0,1,28,0,0,1,1,34,30
1,1,0,29,0,0,1,1,36,30
1,0,1,30,0,0,1,1,34,32
1,0,0,31,0,0,1,1,36,32
1,0,1,32,0,0,1,1,35,35
1,1,0,33,0,0,1,1,37,34
1,-2,1,34,0,0,1,1,36,35
1,1,0,35,0,0,1,1,37,32
1,1,1,36,0,0,1,1,37,33
1,4,0,37,0,0,1,1,39,30
1,4,1,38,0,0,1,1,39,31
1,4,0,39,0,0,1,1,39,31
1,4,1,40,0,0,1,1,39,31
1,4,0,41,0,0,1,1,38,31
1,4,1,42,0,0,1,1,38,34
1,4,0,43,0,0,1,1,33,33
1,4,1,44,0,0,1,1,34,31
1,4,0,45,0,0,1,1,33,31
1,4,1,46,0,0,1,1,34,32
1,4,0,47,0,0,1,1,34,32
1,4,1,48,0,0,1,1,34,34
1,4,0,49,0,0,1,1,34,34
